grdiname,site,expt,layer,GPS Latitude Coordinate (N),GPS Longitude Coordinate (W),MeanAnnTempC,MeanAnnPrecipMM
ILC45_20160701_1C3E_22M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_23M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_24M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_25M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_26M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_31M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_32M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_33M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_34M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_35M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_36M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_41M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_42M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_43M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_44M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_45M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_46M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_51M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_52M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_53M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_54M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_55M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_56M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_61M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_62M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_63M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_64M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_65M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
ILC45_20160701_1C3E_66M,ILC45,1C3E,Mineral,47.69326,83.58954,1.7,797
NZC85_20160701_2C3E_S1B,NZC85,2C3E,Moss,47.6358,83.24617,1.7,797
